State,N,P,K,pH
Andaman & Nicobar,58.45992224,58.58395808,102.7090182,9.672521992
Andhra Pradesh,66.46159391,121.2828445,200.0592697,9.919526599
Arunachal Pradesh,135.7782822,109.8751729,159.6899597,9.363988376
Assam,140,129.2412112,126.3466199,9.367651465
Bihar,77.05265741,145,171.9993191,9.830615095
Chhattisgarh,67.67147973,98.73753548,189.0897942,9.703404368
Goa,100.3834858,93.90748963,181.4077933,9.366454614
Gujarat,64.30859833,142.2232331,189.0780794,9.87930516
Haryana,53.67727688,124.4111653,173.8414764,9.876965861
Himachal Pradesh,83.55780659,120.9007206,186.3807394,9.839591476
Jammu & Kashmir,114.7255174,126.2861198,176.0072559,9.81405866
Jharkhand,89.08388225,108.2447776,161.0166643,9.409559375
Karnataka,82.01673197,134.2292015,184.1475996,9.819208745
Kerala,0,121.0535701,163.7432914,9.67578613
Madhya Pradesh,71.2200845,115.9483951,179.3328037,9.841477422
Maharashtra,61.12875645,104.7394279,205,9.842365993
Meghalaya,85.89813586,67.77531116,142.3988681,8.849306286
Mizoram,69.61942811,106.3902031,193.7361893,9.051574063
Nagaland,110.2590312,104.0617949,133.5073108,9.274732325
Odisha,72.46056637,110.3082466,162.9393611,9.56509557
Puducherry,0,5,5,3.5
Punjab,66.42509336,102.3804498,138.9664224,9.94
Rajasthan,53.67727688,77.18065361,109.9297476,9.846935787
Sikkim,86.64532356,143.0893806,173.128336,9.538764854
Tamil Nadu,54.55651067,111.6380377,187.7001223,9.852448554
Telangana,67.36551925,138.3408545,187.7762687,9.843272699
Tripura,87.29911279,91.03391804,161.8806332,8.968991361
Uttar Pradesh,57.13087287,106.6857122,163.4152761,9.850471937
Uttarakhand,74.82773428,126.7293835,164.2133491,9.822182738
West Bengal,97.53483272,134.8609797,178.1100682,9.473028733
